,TIME,Value
149311,2005.0833333333333,2.969762
149312,2005.1666666666667,3.007519
149313,2005.25,3.148346
149314,2005.3333333333333,3.5106379999999997
149315,2005.4166666666667,2.80275
149316,2005.5,2.530311
149317,2005.5833333333333,3.1678990000000002
149318,2005.6666666666667,3.641161
149319,2005.75,4.6866769999999995
149320,2005.8333333333333,4.347826
149321,2005.9166666666667,3.4554970000000003
149322,2006.0,3.415659
149323,2006.0833333333333,3.9853169999999998
149324,2006.1666666666667,3.597497
149325,2006.25,3.3626489999999998
149326,2006.3333333333333,3.5457349999999996
149327,2006.4166666666667,4.1666669999999995
149328,2006.5,4.318766
149329,2006.5833333333333,4.145343
149330,2006.6666666666667,3.818737
149331,2006.75,2.062374
149332,2006.8333333333333,1.305221
149333,2006.9166666666667,1.973684
149334,2007.0,2.54065
149335,2007.0833333333333,2.075643
149336,2007.1666666666667,2.4151990000000003
149337,2007.25,2.778779
149338,2007.3333333333333,2.573697
149339,2007.4166666666667,2.690864
149340,2007.5,2.6870380000000003
149341,2007.5833333333333,2.358231
149342,2007.6666666666667,1.9700830000000003
149343,2007.75,2.755052
149344,2007.8333333333333,3.536175
149345,2007.9166666666667,4.306203
149346,2008.0,4.081269
149347,2008.0833333333333,4.2802940000000005
149348,2008.1666666666667,4.026555999999999
149349,2008.25,3.9814559999999997
149350,2008.3333333333333,3.93689
149351,2008.4166666666667,4.175543
149352,2008.5,5.02179
149353,2008.5833333333333,5.600123
149354,2008.6666666666667,5.371855
149355,2008.75,4.936927
149356,2008.8333333333333,3.655186
149357,2008.9166666666667,1.069575
149358,2009.0,0.09141289999999999
149359,2009.0833333333333,0.029846499999999998
149360,2009.1666666666667,0.23619110000000001
149361,2009.25,-0.3835562
149362,2009.3333333333333,-0.7368857
149363,2009.4166666666667,-1.281436
149364,2009.5,-1.426776
149365,2009.5833333333333,-2.0971610000000003
149366,2009.6666666666667,-1.484349
149367,2009.75,-1.286206
149368,2009.8333333333333,-0.1828483
149369,2009.9166666666667,1.838296
149370,2010.0,2.721331
149371,2010.0833333333333,2.625709
149372,2010.1666666666667,2.143332
149373,2010.25,2.313959
149374,2010.3333333333333,2.236447
149375,2010.4166666666667,2.020986
149376,2010.5,1.0533489999999999
149377,2010.5833333333333,1.235193
149378,2010.6666666666667,1.148105
149379,2010.75,1.143683
149380,2010.8333333333333,1.172188
149381,2010.9166666666667,1.143161
149382,2011.0,1.495723
149383,2011.0833333333333,1.6318469999999998
149384,2011.1666666666667,2.107585
149385,2011.25,2.681603
149386,2011.3333333333333,3.163631
149387,2011.4166666666667,3.5686459999999998
149388,2011.5,3.558828
149389,2011.5833333333333,3.6287160000000003
149390,2011.6666666666667,3.771208
149391,2011.75,3.868357
149392,2011.8333333333333,3.5252
149393,2011.9166666666667,3.3943779999999997
149394,2012.0,2.9624189999999997
149395,2012.0833333333333,2.925217
149396,2012.1666666666667,2.871099
149397,2012.25,2.651398
149398,2012.3333333333333,2.30274
149399,2012.4166666666667,1.7042540000000002
149400,2012.5,1.663994
149401,2012.5833333333333,1.4084510000000001
149402,2012.6666666666667,1.692379
149403,2012.75,1.991282
149404,2012.8333333333333,2.162344
149405,2012.9166666666667,1.764134
149406,2013.0,1.741022
149407,2013.0833333333333,1.594865
149408,2013.1666666666667,1.9779240000000002
149409,2013.25,1.4738959999999999
149410,2013.3333333333333,1.063085
149411,2013.4166666666667,1.3619649999999999
149412,2013.5,1.754417
149413,2013.5833333333333,1.960682
149414,2013.6666666666667,1.518368
149415,2013.75,1.184925
149416,2013.8333333333333,0.9636127
149417,2013.9166666666667,1.237072
149418,2014.0,1.501736
149419,2014.0833333333333,1.5789469999999999
149420,2014.1666666666667,1.126349
149421,2014.25,1.512203
149422,2014.3333333333333,1.9528580000000002
149423,2014.4166666666667,2.127111
149424,2014.5,2.0723409999999998
149425,2014.5833333333333,1.992329
149426,2014.6666666666667,1.699611
149427,2014.75,1.657919
149428,2014.8333333333333,1.6643400000000002
149429,2014.9166666666667,1.322355
149430,2015.0,0.7564933
149431,2015.0833333333333,-0.08934832
149432,2015.1666666666667,-0.0251298
149433,2015.25,-0.07363739
149434,2015.3333333333333,-0.1995174
149435,2015.4166666666667,-0.03993275
149436,2015.5,0.1237712
149437,2015.5833333333333,0.1695698
149438,2015.6666666666667,0.19507929999999998
149439,2015.75,-0.03612975
149440,2015.8333333333333,0.1705744
149441,2015.9166666666667,0.5017976
149442,2016.0,0.7295198
149443,2016.0833333333333,1.3730870000000002
149444,2016.1666666666667,1.0178
149445,2016.25,0.8525362
149446,2016.3333333333333,1.12511
149447,2016.4166666666667,1.019323
149448,2016.5,0.9973264999999999
149449,2016.5833333333333,0.8271388000000001
149450,2016.6666666666667,1.062875
149451,2016.75,1.463784
149452,2016.8333333333333,1.635988
149453,2016.9166666666667,1.692537
